"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/14/2026 14:46:38:973 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"191","6","10","225","235","74.240676662822","0","0"
"185","6","10","175","1500","36.10149942329873","27","0"
"192","6","10","225","160","50.0961168781238","0","0"
"193","6","10","250","107","43.790849673202615","0","0"
"195","6","10","250","103","40.13840830449827","0","0"
"198","6","12","150","93","47.05882352941177","0","0"
"189","6","10","200","735","15.532487504805843","0","0"
"194","6","10","250","456","14.571318723567858","0","0"
"197","6","12","150","558","26.682045367166474","0","0"
"202","6","12","200","117","41.830065359477125","0","0"
"201","6","12","175","421","20.146097654748175","0","0"
"203","6","12","200","142","51.36485966935794","0","0"
"199","6","12","175","625","41.33025759323337","0","0"
"187","6","10","200","1457","17.07035755478662","0","0"
"204","6","12","200","179","59.93848519800077","0","0"
"207","6","12","225","100","41.94540561322568","0","0"
"206","6","12","225","203","60.47673971549404","0","0"
"208","6","12","250","78","36.79354094579008","0","0"
"196","6","12","150","1226","13.033448673587081","0","0"
"210","6","12","250","111","37.37024221453287","0","0"
"209","6","12","250","184","51.90311418685121","0","0"
"211","6","14","150","345","16.032295271049595","0","0"
"215","6","14","175","93","43.75240292195309","0","0"
"205","6","12","225","776","14.302191464821222","0","0"
"200","6","12","175","1500","24.144559784698192","112","0"
"212","6","14","150","508","19.300269127258748","0","0"
"217","6","14","200","105","47.75086505190311","0","0"
"218","6","14","200","69","40.13840830449827","0","0"
"219","6","14","200","126","43.560169165705496","0","0"
"220","6","14","225","131","47.1357170319108","0","0"
"221","6","14","225","110","46.59746251441753","0","0"
"214","6","14","175","396","35.2556708958093","0","0"
"222","6","14","225","115","44.02153018069973","0","0"
"223","6","14","250","98","40.638216070742025","0","0"
"216","6","14","175","409","22.452902729719337","0","0"
"224","6","14","250","108","40.94579008073818","0","0"
"225","6","14","250","118","42.56055363321799","0","0"
"227","6","16","150","99","47.05882352941177","0","0"
"231","6","16","175","124","55.440215301806994","0","0"
"226","6","16","150","303","10.111495578623606","0","0"
"213","6","14","150","1050","26.835832372164553","0","0"
"233","6","16","200","83","40.099961553248754","0","0"
"232","6","16","200","188","56.516724336793544","0","0"
"234","6","16","200","105","44.67512495194156","0","0"
"235","6","16","225","118","49.058054594386775","0","0"
"237","6","16","225","92","41.1764705882353","0","0"
"229","6","16","175","569","8.381391772395233","0","0"
"236","6","16","225","167","45.32871972318339","0","0"
"238","6","16","250","110","42.56055363321799","0","0"
"240","6","16","250","118","45.290272971933874","0","0"
"239","6","16","250","153","46.40522875816993","0","0"
"244","6","18","175","124","47.59707804690504","0","0"
"241","6","18","150","311","14.571318723567858","0","0"
"230","6","16","175","607","17.301038062283737","0","0"
"245","6","18","175","186","78.12379853902345","0","0"
"246","6","18","175","170","49.36562860438293","0","0"
"247","6","18","200","88","37.677816224529025","0","0"
"249","6","18","200","84","40.7920030757401","0","0"
"251","6","18","225","80","35.17877739331026","0","0"
"250","6","18","225","138","47.712418300653596","0","0"
"252","6","18","225","100","38.33141099577086","0","0"
"253","6","18","250","72","33.56401384083045","0","0"
"248","6","18","200","361","10.957324106113033","0","0"
"254","6","18","250","141","51.51864667435602","0","0"
"255","6","18","250","81","33.64090734332949","0","0"
"228","6","16","150","1500","38.25451749327182","24","0"
"256","6","20","150","136","47.520184544406","0","0"
"259","6","20","175","101","41.44559784698193","0","0"
"261","6","20","175","98","42.79123414071511","0","0"
"257","6","20","150","313","21.376393694732794","0","0"
"262","6","20","200","167","48.55824682814302","0","0"
"260","6","20","175","367","6.305267204921184","0","0"
"264","6","20","200","74","39.21568627450981","0","0"
"265","6","20","225","87","38.446751249519416","0","0"
"266","6","20","225","77","35.140330642060746","0","0"
"267","6","20","225","91","40.984236831987694","0","0"
"243","6","18","150","1500","37.71626297577855","121","0"
"242","6","18","150","1500","27.181853133410225","59","0"
"268","6","20","250","78","37.21645520953479","0","0"
"270","6","20","250","75","35.56324490580546","0","0"
"269","6","20","250","86","36.024605920799694","0","0"
"258","6","20","150","898","18.877354863514032","0","0"
"263","6","20","200","1070","28.027681660899653","0","0"
"271","8","4","150","1500","41.09957708573626","34","0"
"272","8","4","150","1500","45.79008073817762","33","0"
"273","8","4","150","1500","45.40561322568243","32","0"
"274","8","4","175","1500","49.94232987312572","29","0"
"276","8","4","175","1500","47.481737793156476","17","0"
"275","8","4","175","1500","44.982698961937714","34","0"
"277","8","4","200","1500","52.59515570934256","20","0"
"279","8","4","200","1500","75.58631295655518","6","0"
"278","8","4","200","1500","59.4002306805075","30","0"
"280","8","4","225","1500","31.718569780853517","32","0"
"281","8","4","225","1500","59.015763168012306","21","0"
"282","8","4","225","722","76.6243752402922","0","0"
"284","8","4","250","1500","59.669357939254134","25","0"
"283","8","4","250","1500","43.06036139946175","7","0"
"285","8","4","250","1500","43.44482891195694","21","0"
"289","8","6","175","146","61.36101499423299","0","0"
"286","8","6","150","1500","75.31718569780854","24","0"
"287","8","6","150","1500","43.67550941945406","26","0"
"290","8","6","175","897","54.171472510572855","0","0"
"295","8","6","225","166","56.01691657054979","0","0"
"296","8","6","225","143","47.44329104190696","0","0"
"288","8","6","150","1500","42.1760861207228","36","0"
"293","8","6","200","1175","69.0888119953864","0","0"
"292","8","6","200","1500","36.17839292579777","35","0"
"291","8","6","175","1500","26.105344098423682","35","0"
"299","8","6","250","138","47.481737793156476","0","0"
"298","8","6","250","223","54.63283352556709","0","0"
"302","8","8","150","403","56.824298346789696","0","0"
"294","8","6","200","1500","44.40599769319493","59","0"
"300","8","6","250","605","18.685121107266436","0","0"
"297","8","6","225","1080","62.89888504421376","0","0"
"306","8","8","175","502","70.66512879661668","0","0"
"308","8","8","200","185","66.1284121491734","0","0"
"309","8","8","200","194","60.86120722798923","0","0"
"301","8","8","150","1500","42.32987312572088","32","0"
"311","8","8","225","148","51.55709342560554","0","0"
"312","8","8","225","266","88.00461361014995","0","0"
"305","8","8","175","1500","60.86120722798923","60","0"
"304","8","8","175","1500","21.184159938485198","25","0"
"313","8","8","250","113","44.482891195693966","0","0"
"314","8","8","250","113","41.29181084198385","0","0"
"315","8","8","250","166","57.28565936178393","0","0"
"303","8","8","150","1500","41.29181084198385","61","0"
"310","8","8","225","982","58.36216839677047","0","0"
"307","8","8","200","1500","71.81853133410227","8","0"
"319","8","10","175","113","49.9038831218762","0","0"
"321","8","10","175","119","53.133410226835835","0","0"
"322","8","10","200","93","45.48250672818147","0","0"
"316","8","10","150","690","24.605920799692427","0","0"
"324","8","10","200","209","77.00884275278739","0","0"
"325","8","10","225","113","45.25182622068435","0","0"
"323","8","10","200","470","20.761245674740483","0","0"
"328","8","10","250","118","42.13763936947328","0","0"
"329","8","10","250","213","60.130718954248366","0","0"
"327","8","10","225","504","38.79277201076509","0","0"
"330","8","10","250","159","47.020376778162245","0","0"
"326","8","10","225","503","28.87351018838908","0","0"
"317","8","10","150","1500","30.44982698961938","24","0"
"318","8","10","150","1500","58.59284890426759","58","0"
"320","8","10","175","1500","74.47135717031911","41","0"
"334","8","12","175","326","30.83429450211457","0","0"
"333","8","12","150","389","60.82276047673972","0","0"
"335","8","12","175","394","20.530565167243367","0","0"
"339","8","12","200","107","38.79277201076509","0","0"
"337","8","12","200","391","20.45367166474433","0","0"
"340","8","12","225","98","43.790849673202615","0","0"
"341","8","12","225","129","50.36524413687044","0","0"
"342","8","12","225","95","39.83083429450212","0","0"
"343","8","12","250","87","42.32987312572088","0","0"
"331","8","12","150","1106","36.94732795078816","0","0"
"345","8","12","250","89","40.29219530949635","0","0"
"338","8","12","200","431","40.90734332948866","0","0"
"344","8","12","250","250","58.2083813917724","0","0"
"332","8","12","150","1500","49.058054594386775","46","0"
"346","8","14","150","577","27.68166089965398","0","0"
"349","8","14","175","401","28.95040369088812","0","0"
"348","8","14","150","338","24.682814302191463","0","0"
"336","8","12","175","1500","23.68319876970396","59","0"
"351","8","14","175","113","48.44290657439446","0","0"
"352","8","14","200","118","44.59823144944252","0","0"
"355","8","14","225","86","43.29104190695886","0","0"
"357","8","14","225","69","40.17685505574779","0","0"
"358","8","14","250","98","41.48404459823145","0","0"
"354","8","14","200","398","9.84236831987697","0","0"
"353","8","14","200","334","21.64552095347943","0","0"
"359","8","14","250","97","42.90657439446367","0","0"
"350","8","14","175","700","43.29104190695886","0","0"
"360","8","14","250","218","53.78700499807766","0","0"
"363","8","16","150","83","46.866589773164165","0","0"
"364","8","16","175","104","47.98154555940023","0","0"
"365","8","16","175","99","50.48058439061899","0","0"
"362","8","16","150","359","33.0642060745867","0","0"
"366","8","16","175","112","47.481737793156476","0","0"
"347","8","14","150","1500","34.17916186082276","6","0"
"369","8","16","200","131","48.09688581314879","0","0"
"356","8","14","225","926","10.073048827374087","0","0"
"370","8","16","225","93","42.02229911572472","0","0"
"371","8","16","225","96","41.906958861976165","0","0"
"372","8","16","225","76","35.56324490580546","0","0"
"367","8","16","200","357","22.068435217224145","0","0"
"373","8","16","250","73","37.21645520953479","0","0"
"375","8","16","250","71","42.945021145713184","0","0"
"374","8","16","250","114","42.56055363321799","0","0"
"376","8","18","150","132","58.093041138023835","0","0"
"368","8","16","200","436","10.226835832372165","0","0"
"379","8","18","175","107","50.0961168781238","0","0"
"378","8","18","150","127","50.48058439061899","0","0"
"381","8","18","175","102","43.3679354094579","0","0"
"382","8","18","200","114","46.78969627066513","0","0"
"383","8","18","200","113","45.36716647443291","0","0"
"384","8","18","200","93","38.10073048827374","0","0"
"385","8","18","225","96","39.06189926951173","0","0"
"386","8","18","225","115","44.71357170319108","0","0"
"387","8","18","225","136","48.59669357939254","0","0"
"388","8","18","250","229","59.55401768550558","0","0"
"390","8","18","250","83","39.638600538254515","0","0"
"389","8","18","250","159","48.40445982314495","0","0"
"391","8","20","150","84","40.484429065743946","0","0"
"392","8","20","150","87","41.63783160322953","0","0"
"393","8","20","150","111","49.86543637062668","0","0"
"394","8","20","175","83","38.216070742022296","0","0"
"361","8","16","150","1049","11.84159938485198","0","0"
"395","8","20","175","114","47.40484429065744","0","0"
"396","8","20","175","87","39.90772779700115","0","0"
"380","8","18","175","729","60.66897347174164","0","0"
"397","8","20","200","81","41.44559784698193","0","0"
"398","8","20","200","80","39.21568627450981","0","0"
"401","8","20","225","68","36.67820069204152","0","0"
"399","8","20","200","100","43.06036139946175","0","0"
"400","8","20","225","69","41.02268358323722","0","0"
"402","8","20","225","92","37.29334871203383","0","0"
"405","8","20","250","61","36.98577470203768","0","0"
"403","8","20","250","61","33.179546328335256","0","0"
"404","8","20","250","386","8.419838523644753","0","0"
"377","8","18","150","1500","8.573625528642829","56","0"
"407","10","4","150","1500","61.20722798923491","16","0"
"406","10","4","150","1500","64.32141484044598","12","0"
"408","10","4","150","1500","62.014609765474816","13","0"
"412","10","4","200","167","66.32064590542099","0","0"
"415","10","4","225","137","52.479815455594","0","0"
"414","10","4","200","163","57.09342560553633","0","0"
"410","10","4","175","1500","43.25259515570934","35","0"
"411","10","4","175","1500","58.63129565551711","34","0"
"409","10","4","175","1500","53.55632449058054","22","0"
"413","10","4","200","729","55.40176855055748","0","0"
"419","10","4","250","267","76.8166089965398","0","0"
"417","10","4","225","617","51.710880430603616","0","0"
"416","10","4","225","1500","45.02114571318724","21","0"
"418","10","4","250","1500","41.29181084198385","19","0"
"424","10","6","175","479","30.488273740868898","0","0"
"422","10","6","150","1500","54.01768550557478","46","0"
"421","10","6","150","1500","84.19838523644752","12","0"
"423","10","6","150","1500","56.209150326797385","51","0"
"420","10","4","250","1500","29.1041906958862","9","0"
"430","10","6","225","111","54.248366013071895","0","0"
"427","10","6","200","830","54.402153018069974","0","0"
"425","10","6","175","1500","42.82968089196463","21","0"
"426","10","6","175","1500","50.21145713187236","36","0"
"428","10","6","200","1500","30.680507497116494","47","0"
"433","10","6","250","648","37.33179546328335","0","0"
"429","10","6","200","1500","42.13763936947328","66","0"
"435","10","6","250","132","51.90311418685121","0","0"
"431","10","6","225","1009","70.81891580161476","0","0"
"432","10","6","225","1500","61.13033448673587","21","0"
"439","10","8","175","411","41.33025759323337","0","0"
"434","10","6","250","1500","53.67166474432911","13","0"
"436","10","8","150","1500","42.29142637447136","34","0"
"437","10","8","150","1500","60.24605920799692","1","0"
"438","10","8","150","1500","59.09265667051134","22","0"
"445","10","8","225","134","51.172625913110345","0","0"
"446","10","8","225","102","44.44444444444444","0","0"
"440","10","8","175","1500","58.74663590926567","60","0"
"443","10","8","200","547","54.555940023068054","0","0"
"444","10","8","200","566","31.372549019607842","0","0"
"448","10","8","250","186","44.559784698193006","0","0"
"442","10","8","200","1500","31.141868512110726","36","0"
"452","10","10","150","106","53.17185697808535","0","0"
"450","10","8","250","539","15.032679738562091","0","0"
"454","10","10","175","89","40.52287581699346","0","0"
"441","10","8","175","1500","39.869281045751634","46","0"
"453","10","10","150","644","55.82468281430219","0","0"
"449","10","8","250","1038","46.55901576316801","0","0"
"455","10","10","175","433","28.83506343713956","0","0"
"457","10","10","200","149","51.86466743560169","0","0"
"451","10","10","150","1136","47.05882352941177","0","0"
"447","10","8","225","1500","58.246828143021915","60","0"
"461","10","10","225","92","42.21453287197232","0","0"
"463","10","10","250","80","39.869281045751634","0","0"
"462","10","10","225","160","52.825836216839676","0","0"
"459","10","10","200","500","23.5678585159554","0","0"
"456","10","10","175","446","24.9519415609381","0","0"
"460","10","10","225","484","13.071895424836601","0","0"
"465","10","10","250","99","40.90734332948866","0","0"
"464","10","10","250","176","55.6324490580546","0","0"
"458","10","10","200","801","37.754709727028064","0","0"
"468","10","12","150","335","23.913879277201076","0","0"
"467","10","12","150","359","28.37370242214533","0","0"
"470","10","12","175","439","59.900038446751246","0","0"
"471","10","12","175","444","27.258746635909265","0","0"
"472","10","12","200","366","11.11111111111111","0","0"
"473","10","12","200","147","57.13187235678585","0","0"
"475","10","12","225","155","49.25028835063437","0","0"
"476","10","12","225","107","41.599384851980005","0","0"
"478","10","12","250","138","47.05882352941177","0","0"
"474","10","12","200","399","12.418300653594772","0","0"
"479","10","12","250","254","71.54940407535564","0","0"
"477","10","12","225","470","18.26220684352172","0","0"
"480","10","12","250","480","21.14571318723568","0","0"
"466","10","12","150","1500","43.867743175701655","87","0"
"484","10","14","175","99","44.67512495194156","0","0"
"469","10","12","175","1500","53.748558246828146","45","0"
"483","10","14","150","145","45.86697424067666","0","0"
"482","10","14","150","539","23.836985774702036","0","0"
"489","10","14","200","93","42.56055363321799","0","0"
"487","10","14","200","150","58.938869665513266","0","0"
"488","10","14","200","138","54.709727028066126","0","0"
"490","10","14","225","101","48.40445982314495","0","0"
"491","10","14","225","84","44.7520184544406","0","0"
"493","10","14","250","99","40.17685505574779","0","0"
"494","10","14","250","170","50.67281814686659","0","0"
"495","10","14","250","113","40.71510957324106","0","0"
"485","10","14","175","610","14.917339484813533","0","0"
"481","10","14","150","1119","51.82622068435217","0","0"
"499","10","16","175","81","42.599000384467516","0","0"
"496","10","16","150","323","14.379084967320262","0","0"
"492","10","14","225","380","12.264513648596694","0","0"
"501","10","16","175","123","50.05767012687428","0","0"
"502","10","16","200","104","43.13725490196079","0","0"
"503","10","16","200","134","45.213379469434834","0","0"
"504","10","16","200","73","41.09957708573626","0","0"
"505","10","16","225","96","38.0238369857747","0","0"
"506","10","16","225","178","57.32410611303345","0","0"
"507","10","16","225","82","38.83121876201461","0","0"
"498","10","16","150","734","15.032679738562091","0","0"
"509","10","16","250","79","40.984236831987694","0","0"
"510","10","16","250","74","38.13917723952326","0","0"
"508","10","16","250","146","41.1764705882353","0","0"
"511","10","18","150","111","46.17454825067282","0","0"
"486","10","14","175","1500","34.48673587081892","75","0"
"514","10","18","175","312","14.49442522106882","0","0"
"513","10","18","150","283","16.070742022299115","0","0"
"497","10","16","150","1500","51.172625913110345","36","0"
"518","10","18","200","126","46.866589773164165","0","0"
"517","10","18","200","170","54.90196078431372","0","0"
"520","10","18","225","98","42.13763936947328","0","0"
"512","10","18","150","818","34.33294886582084","0","0"
"500","10","16","175","1500","28.527489427143408","64","0"
"522","10","18","225","97","41.40715109573241","0","0"
"519","10","18","200","377","12.264513648596694","0","0"
"515","10","18","175","822","13.379469434832757","0","0"
"521","10","18","225","134","55.36332179930796","0","0"
"516","10","18","175","617","22.952710495963093","0","0"
"525","10","18","250","69","34.90965013456363","0","0"
"524","10","18","250","115","39.561707035755475","0","0"
"526","10","20","150","74","38.4083044982699","0","0"
"529","10","20","175","90","41.138023836985774","0","0"
"527","10","20","150","114","46.36678200692042","0","0"
"530","10","20","175","130","53.47943098808151","0","0"
"532","10","20","200","66","35.8323721645521","0","0"
"534","10","20","200","69","34.14071510957324","0","0"
