"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"165","6","6","250","165","51.40330642060746","0","0"
"158","6","6","200","1241","59.86159169550173","0","0"
"162","6","6","225","1500","48.67358708189158","39","0"
"164","6","6","250","1500","34.87120338331411","54","0"
"159","6","6","200","1500","43.32948865820838","36","0"
"166","6","8","150","1500","41.48404459823145","66","0"
"169","6","8","175","443","42.060745866974244","0","0"
"167","6","8","150","1500","53.748558246828146","52","0"
"168","6","8","150","1500","53.44098423683199","69","0"
"171","6","8","175","465","37.831603229527104","0","0"
"175","6","8","225","320","91.38792772010765","0","0"
"174","6","8","200","538","47.67397154940407","0","0"
"178","6","8","250","102","43.483275663206456","0","0"
"179","6","8","250","162","48.17377931564783","0","0"
"172","6","8","200","1218","16.762783544790466","0","0"
"170","6","8","175","1500","66.39753940792004","18","0"
"180","6","8","250","175","60.78431372549019","0","0"
"177","6","8","225","537","32.29527104959631","0","0"
"173","6","8","200","1500","49.9038831218762","25","0"
"183","6","10","150","442","74.20222991157247","0","0"
"184","6","10","175","389","34.17916186082276","0","0"
"186","6","10","175","97","48.32756632064591","0","0"
"188","6","10","200","180","57.51633986928105","0","0"
"187","6","10","200","475","22.837370242214533","0","0"
"190","6","10","225","127","44.29065743944636","0","0"
"185","6","10","175","1062","51.55709342560554","0","0"
"176","6","8","225","1500","55.74778931180315","27","0"
"182","6","10","150","1500","54.36370626682045","5","0"
"181","6","10","150","1500","57.20876585928489","16","0"
"192","6","10","225","128","47.558631295655516","0","0"
"194","6","10","250","92","32.641291810841984","0","0"
"195","6","10","250","87","42.368319876970396","0","0"
"191","6","10","225","457","19.8000768935025","0","0"
"193","6","10","250","163","48.86582083813918","0","0"
"199","6","12","175","131","51.51864667435602","0","0"
"200","6","12","175","133","53.36409073433295","0","0"
"201","6","12","175","150","58.169934640522875","0","0"
"203","6","12","200","96","43.790849673202615","0","0"
"196","6","12","150","706","29.06574394463668","0","0"
"205","6","12","225","107","42.02229911572472","0","0"
"189","6","10","200","1500","31.987697039600153","55","0"
"206","6","12","225","94","39.29257977700884","0","0"
"197","6","12","150","876","28.95040369088812","0","0"
"204","6","12","200","441","23.02960399846213","0","0"
"207","6","12","225","114","39.21568627450981","0","0"
"208","6","12","250","121","41.09957708573626","0","0"
"210","6","12","250","96","39.638600538254515","0","0"
"209","6","12","250","122","34.87120338331411","0","0"
"212","6","14","150","99","57.67012687427912","0","0"
"214","6","14","175","127","42.63744713571703","0","0"
"216","6","14","175","111","45.36716647443291","0","0"
"211","6","14","150","315","16.762783544790466","0","0"
"198","6","12","150","1290","37.831603229527104","0","0"
"217","6","14","200","90","45.059592464436754","0","0"
"213","6","14","150","375","15.647827758554403","0","0"
"218","6","14","200","84","41.56093810073049","0","0"
"220","6","14","225","92","39.48481353325644","0","0"
"215","6","14","175","428","21.68396770472895","0","0"
"219","6","14","200","142","50.249903883121874","0","0"
"221","6","14","225","121","38.4083044982699","0","0"
"222","6","14","225","121","38.83121876201461","0","0"
"224","6","14","250","70","33.98692810457516","0","0"
"223","6","14","250","104","41.830065359477125","0","0"
"227","6","16","150","95","42.75278738946559","0","0"
"202","6","12","200","1006","26.91272587466359","0","0"
"226","6","16","150","164","72.51057285659361","0","0"
"231","6","16","175","135","43.790849673202615","0","0"
"229","6","16","175","375","18.954248366013072","0","0"
